n_in,final,a,b,c,d,a1,b1,c1,d1,a2,b2,c2,d2,a3,b3,c3,d3
2012032921,0.336,2.34,-4.9,154.48,5.43,1.89,-4.76,158.33,5.12,2.19,-4.69,154.99,5.17,2.42,-5.07,154.49,5.61
2012032922,0.321,2.02,-4.22,154.47,4.68,1.48,-4.09,160.11,4.34,1.71,-4.01,156.92,4.35,1.88,-4.38,156.76,4.77
2012032923,0.231,1.6,-3.28,154.07,3.65,0.99,-3.17,162.69,3.32,1.13,-3.03,159.55,3.23,1.19,-3.33,160.36,3.54
2012033000,0.07,1.17,-2.51,154.96,2.77,0.56,-2.47,167.2,2.53,0.61,-2.24,164.76,2.32,0.57,-2.44,166.76,2.51
2012033001,0.025,0.3,-2.29,172.41,2.31,0.27,-1.99,172.28,2.01,0.21,-2.09,174.26,2.1,0.86,-1.62,151.89,1.83
2012033002,0.025,0.23,-2.41,174.58,2.42,0.09,-2.13,177.47,2.13,0.03,-2.14,179.27,2.14,1.13,-1.57,144.22,1.93
2012033003,0.02,0.32,-2.49,172.77,2.51,0.03,-2.34,179.19,2.34,-0.11,-2.31,182.61,2.31,1.14,-1.64,145.22,2
2012033004,0,0.52,-2.27,167.15,2.33,0.03,-2.41,179.29,2.41,-0.29,-2.37,186.89,2.39,0.95,-1.79,152.09,2.03
2012033005,0,0.67,-1.93,160.74,2.04,-0.01,-2.32,180.22,2.32,-0.48,-2.32,191.81,2.37,0.6,-1.95,162.78,2.04
2012033006,0,0.58,-1.71,161.11,1.81,-0.18,-2.1,185.01,2.11,-0.64,-2.21,196.11,2.3,0.15,-2.04,175.68,2.04
2012033007,0,0.13,-1.79,175.83,1.8,-0.56,-1.81,197.19,1.89,-0.71,-2.08,198.89,2.2,-0.35,-2.01,189.88,2.04
2012033008,0,-0.52,-2.01,194.62,2.08,-1.05,-1.5,214.88,1.83,-0.79,-1.94,202.25,2.1,-0.86,-1.87,204.75,2.06
2012033009,0,-1.15,-2.1,208.64,2.39,-1.52,-1.24,230.83,1.96,-1,-1.78,209.26,2.05,-1.34,-1.65,219.19,2.12
2012033010,0,-1.56,-1.87,219.73,2.43,-1.89,-1.05,240.88,2.16,-1.4,-1.6,221.14,2.13,-1.75,-1.36,232.26,2.21
2012033011,0.07,-1.81,-1.44,231.51,2.31,-2.22,-0.88,248.37,2.39,-1.87,-1.35,234.13,2.31,-2.08,-1.02,243.9,2.32
2012033012,0.075,-2.02,-0.98,244.16,2.24,-2.62,-0.63,256.41,2.7,-2.26,-1,246.05,2.47,-2.33,-0.66,254.2,2.42
2012033013,0.14,-3.15,-0.25,265.53,3.16,-2.44,-0.53,257.67,2.5,-2.51,-0.3,263.17,2.52,-2.63,-0.08,268.17,2.63
2012033014,0.125,-3.71,0.24,273.7,3.71,-2.54,-0.06,268.67,2.54,-2.67,0.01,270.22,2.67,-2.93,0.12,272.26,2.93
2012033015,0.13,-4.14,0.76,280.35,4.21,-2.7,0.28,275.97,2.71,-2.91,0.22,274.32,2.91,-3.45,0.29,274.87,3.46
2012033016,0.115,-4.36,1.22,285.7,4.53,-3.05,0.39,277.32,3.07,-3.25,0.29,275.19,3.26,-4.07,0.45,276.29,4.1
2012033017,0.266,-4.4,1.51,288.97,4.66,-3.49,0.35,275.7,3.5,-3.62,0.28,274.46,3.63,-4.67,0.59,277.23,4.7
2012033018,0.236,-4.37,1.48,288.72,4.62,-3.88,0.27,274.02,3.89,-3.91,0.25,273.59,3.92,-5.08,0.74,278.27,5.13
2012033019,0.12,-4.34,1.04,283.46,4.46,-4.12,0.26,273.61,4.13,-4.06,0.23,273.29,4.06,-5.2,0.89,279.67,5.27
2012033020,0.401,-4.34,0.31,274.12,4.35,-4.24,0.28,273.81,4.25,-4.08,0.22,273.03,4.09,-5.07,0.97,280.82,5.16
2012033021,0.486,-4.4,-0.52,263.28,4.43,-4.31,0.29,273.78,4.32,-4.04,0.15,272.08,4.04,-4.78,0.91,280.77,4.86
2012033022,0.376,-4.51,-1.29,254.08,4.69,-4.39,0.23,272.96,4.4,-4,0,269.97,4,-4.42,0.65,278.42,4.47
2012033023,0.266,-4.64,-1.89,247.84,5.01,-4.5,0.12,271.5,4.5,-3.99,-0.19,267.3,3.99,-4.12,0.27,273.78,4.13
2012033100,0.261,-4.71,-2.23,244.68,5.21,-4.61,-0.02,269.77,4.61,-4.06,-0.35,265.08,4.08,-3.99,-0.14,267.96,4
2012040201,0.271,-0.49,-4.11,186.76,4.14,0.03,-3.66,179.58,3.66,-0.16,-4.56,182.02,4.56,0.11,-3.63,178.34,3.64
2012040202,0.13,-1.24,-3.81,197.99,4,-0.7,-3.41,191.63,3.48,-0.91,-4.47,191.47,4.56,-0.18,-3.47,182.99,3.47
2012040203,0.165,-1.65,-3.41,205.8,3.78,-1.11,-3.07,199.87,3.26,-1.31,-4.11,197.66,4.31,-0.27,-3.19,184.81,3.21
2012040204,0.135,-1.53,-2.93,207.52,3.3,-1.03,-2.66,201.15,2.85,-1.22,-3.51,199.14,3.72,-0.21,-2.86,184.29,2.87
2012040205,0.1,-1.08,-2.48,203.48,2.7,-0.63,-2.28,195.52,2.37,-0.83,-2.86,196.21,2.98,-0.09,-2.54,182,2.55
2012040206,0.105,-0.6,-2.17,195.4,2.25,-0.19,-2.09,185.3,2.1,-0.43,-2.41,190.21,2.44,0.04,-2.31,179.1,2.31
2012040207,0.11,-0.32,-2.08,188.81,2.11,0.08,-2.17,177.8,2.17,-0.24,-2.31,185.86,2.32,0.1,-2.21,177.32,2.22
2012040208,0.08,-0.23,-2.13,186.09,2.14,0.21,-2.39,174.93,2.4,-0.19,-2.45,184.4,2.45,0.12,-2.19,176.87,2.2
2012040209,0.085,-0.22,-2.2,185.84,2.21,0.26,-2.58,174.19,2.59,-0.17,-2.64,183.62,2.65,0.11,-2.16,177.15,2.16
2012040210,0.085,-0.25,-2.2,186.54,2.21,0.28,-2.61,173.9,2.63,-0.09,-2.76,181.93,2.76,0.08,-2.07,177.75,2.08
2012040211,0.08,-0.34,-2.16,188.93,2.18,0.21,-2.56,175.3,2.56,-0.05,-2.88,180.99,2.88,0.03,-2.04,179.14,2.04
2012040212,0.105,-0.54,-2.14,194.21,2.21,-0.02,-2.53,180.47,2.53,-0.16,-3.12,182.95,3.12,-0.06,-2.22,181.63,2.22
2012040213,0.13,-0.44,-2.62,189.46,2.65,-0.48,-3.55,187.72,3.58,-0.19,-2.69,184.15,2.7,-0.04,-3.27,180.69,3.27
2012040214,0.035,-0.84,-2.74,197.01,2.86,-0.78,-3.99,191.08,4.06,-0.27,-3.27,184.71,3.28,-0.14,-3.75,182.15,3.76
2012040215,0.241,-0.98,-2.79,199.27,2.96,-0.76,-4.2,190.27,4.26,-0.17,-3.73,182.62,3.73,-0.1,-3.95,181.44,3.95
2012040216,0.246,-0.68,-2.7,194.1,2.79,-0.23,-4.03,183.24,4.04,0.18,-3.88,177.34,3.88,0.06,-3.95,179.08,3.95
2012040217,0.16,-0.11,-2.59,182.47,2.59,0.58,-3.72,171.15,3.77,0.69,-3.88,169.85,3.94,0.37,-3.88,174.59,3.9
2012040218,0.11,0.48,-2.59,169.45,2.64,1.32,-3.61,159.92,3.85,1.24,-3.95,162.5,4.14,0.84,-3.92,167.84,4.01
2012040219,0.145,0.9,-2.81,162.31,2.95,1.72,-3.9,156.15,4.26,1.71,-4.22,157.94,4.55,1.47,-4.14,160.43,4.39
2012040220,0.201,1.08,-3.09,160.68,3.27,1.82,-4.28,157.03,4.65,2,-4.47,155.89,4.9,2.02,-4.34,155.05,4.79
2012040221,0.206,1.03,-3.21,162.18,3.37,1.7,-4.34,158.65,4.66,2.04,-4.4,155.13,4.85,2.22,-4.27,152.54,4.81
2012040222,0.211,0.76,-3.04,165.87,3.13,1.47,-3.8,158.9,4.07,1.78,-3.81,154.92,4.21,1.88,-3.74,153.29,4.19
2012040223,0.12,0.41,-2.72,171.37,2.75,1.19,-2.97,158.11,3.2,1.37,-3.02,155.63,3.32,1.25,-3.04,157.57,3.29
2012040300,0.06,0.14,-2.48,176.83,2.49,0.96,-2.34,157.73,2.52,0.97,-2.45,158.5,2.63,0.67,-2.53,165.25,2.62
2012040301,0.085,0.8,-2.24,160.29,2.37,0.71,-2.4,163.52,2.5,0.38,-2.48,171.17,2.51,1.65,-1.92,139.41,2.53
2012040302,0.145,0.68,-2.5,164.78,2.59,0.6,-2.67,167.4,2.74,0.39,-2.7,171.74,2.73,1.86,-2.1,138.47,2.81
2012040303,0.09,0.52,-2.83,169.55,2.87,0.59,-2.95,168.77,3.01,0.6,-2.91,168.36,2.97,1.62,-2.35,145.39,2.86
2012040304,0.07,0.29,-2.98,174.48,2.99,0.64,-3.01,168.06,3.07,0.9,-2.89,162.66,3.03,1.09,-2.62,157.41,2.84
2012040305,0.025,0.07,-2.97,178.6,2.97,0.69,-2.91,166.56,2.99,1.14,-2.75,157.47,2.98,0.48,-2.85,170.41,2.89
2012040306,0.02,0,-2.87,179.96,2.87,0.71,-2.81,165.81,2.9,1.14,-2.68,156.91,2.92,0.03,-2.98,179.43,2.98
2012040307,0.055,0.15,-2.73,176.76,2.73,0.64,-2.81,167.1,2.89,0.81,-2.79,163.91,2.91,-0.11,-2.96,182.07,2.96
2012040308,0.08,0.41,-2.44,170.51,2.47,0.5,-2.73,169.63,2.78,0.3,-2.85,174.01,2.87,-0.08,-2.76,181.59,2.76
2012040309,0.02,0.59,-1.87,162.49,1.96,0.29,-2.31,172.8,2.33,-0.13,-2.57,182.85,2.57,-0.1,-2.33,182.51,2.34
2012040310,0.03,0.58,-0.97,149.29,1.13,0.05,-1.41,178.1,1.41,-0.3,-1.73,189.87,1.76,-0.33,-1.68,191.13,1.71
2012040311,0.035,0.39,0.09,77.49,0.4,-0.18,-0.24,216.23,0.3,-0.32,-0.57,208.78,0.66,-0.61,-0.88,214.83,1.07
2012040312,0.005,0.12,1.04,6.69,1.05,-0.3,0.88,340.85,0.93,-0.33,0.57,329.48,0.66,-0.71,-0.01,269.23,0.71
2012040513,0.466,-0.5,-5.04,185.72,5.06,-0.68,-4.92,187.9,4.96,-0.47,-4.96,185.39,4.99,-0.92,-4.48,191.58,4.57
2012040514,0.366,-0.35,-5.03,183.94,5.05,-0.54,-4.85,186.33,4.88,-0.24,-4.82,182.79,4.83,-0.57,-4.32,187.53,4.35
2012040515,0.201,-0.12,-4.8,181.37,4.8,-0.26,-4.52,183.26,4.53,0.06,-4.5,179.2,4.5,-0.2,-4.05,182.8,4.05
2012040516,0.115,0.14,-4.43,178.2,4.44,0.11,-4.04,178.41,4.04,0.36,-4.11,174.93,4.13,0.17,-3.76,177.44,3.76
2012040517,0.07,0.38,-4.12,174.8,4.14,0.48,-3.65,172.58,3.68,0.63,-3.85,170.65,3.91,0.48,-3.62,172.45,3.65
2012040518,0.045,0.55,-4.08,172.25,4.11,0.72,-3.62,168.75,3.69,0.84,-3.94,167.95,4.03,0.68,-3.83,169.89,3.89
2012040519,0.09,0.66,-4.4,171.51,4.45,0.78,-4.12,169.31,4.19,0.96,-4.46,167.83,4.56,0.75,-4.48,170.52,4.54
2012040520,0.135,0.72,-4.77,171.43,4.83,0.73,-4.73,171.27,4.79,1.02,-5.04,168.56,5.14,0.73,-5.17,171.93,5.22
2012040521,0.19,0.8,-4.8,170.53,4.86,0.69,-4.93,172.03,4.98,1.05,-5.19,168.58,5.29,0.72,-5.4,172.4,5.45
2012040522,0.286,0.93,-4.2,167.52,4.3,0.75,-4.37,170.28,4.44,1.07,-4.58,166.88,4.71,0.77,-4.84,171.01,4.9
2012040523,0.251,1.04,-3.3,162.56,3.46,0.82,-3.42,166.5,3.51,1.06,-3.6,163.54,3.75,0.81,-3.85,168.13,3.93
2012040600,0.201,1.03,-2.58,158.2,2.78,0.78,-2.62,163.4,2.73,1,-2.76,160.09,2.93,0.76,-2.96,165.54,3.06
2012040601,0.306,0.55,-2.39,167.09,2.45,0.85,-2.47,160.97,2.61,0.57,-2.58,167.56,2.65,0.34,-2.66,172.68,2.68
2012040602,0.426,0.2,-2.56,175.58,2.56,0.61,-2.58,166.63,2.65,0.28,-2.6,173.93,2.62,0.34,-2.63,172.72,2.65
2012040603,0.376,-0.15,-2.82,183.06,2.82,0.28,-2.8,174.24,2.82,-0.04,-2.77,180.83,2.77,0.4,-2.65,171.34,2.68
2012040604,0.301,-0.4,-2.93,187.83,2.96,-0.12,-2.92,182.35,2.92,-0.31,-2.88,186.22,2.89,0.5,-2.7,169.43,2.74
2012040605,0.316,-0.55,-2.89,190.79,2.94,-0.5,-2.89,189.91,2.93,-0.51,-2.88,190.11,2.93,0.56,-2.74,168.4,2.79
2012040606,0.341,-0.61,-2.74,192.45,2.81,-0.76,-2.74,195.58,2.84,-0.62,-2.77,192.63,2.83,0.5,-2.73,169.69,2.77
2012040607,0.296,-0.58,-2.57,192.73,2.63,-0.81,-2.51,197.91,2.63,-0.61,-2.55,193.54,2.63,0.27,-2.66,174.26,2.67
2012040608,0.201,-0.47,-2.45,190.77,2.49,-0.66,-2.33,195.89,2.42,-0.5,-2.39,191.75,2.44,0,-2.63,179.92,2.63
2012040609,0.165,-0.26,-2.5,185.84,2.52,-0.36,-2.35,188.75,2.38,-0.27,-2.43,186.23,2.44,-0.12,-2.76,182.57,2.76
2012040610,0.19,0.04,-2.79,179.08,2.79,0.04,-2.69,179.22,2.69,0.06,-2.79,178.75,2.79,0,-3.13,180.04,3.13
2012040611,0.271,0.36,-3.21,173.57,3.23,0.43,-3.2,172.33,3.23,0.4,-3.32,173.11,3.34,0.25,-3.6,176.03,3.61
2012040612,0.306,0.61,-3.65,170.57,3.7,0.71,-3.74,169.27,3.81,0.66,-3.79,170.15,3.85,0.46,-3.99,173.49,4.02
2012040613,0.195,0.79,-4.15,169.19,4.23,0.77,-4.05,169.27,4.12,0.49,-4.18,173.3,4.21,0.58,-4.1,172.01,4.14
2012040614,0.165,0.77,-4.43,170.13,4.5,0.79,-4.16,169.27,4.23,0.44,-4.23,174.08,4.25,0.6,-4.3,172.12,4.34
2012040615,0.17,0.77,-4.61,170.54,4.67,0.81,-4.24,169.19,4.32,0.43,-4.27,174.2,4.29,0.72,-4.54,171,4.6
2012040616,0.18,0.88,-4.71,169.41,4.79,0.91,-4.41,168.33,4.5,0.58,-4.4,172.49,4.43,0.91,-4.79,169.19,4.87
2012040617,0.276,1.08,-4.8,167.27,4.92,1.1,-4.63,166.67,4.76,0.85,-4.6,169.52,4.68,1.16,-5.03,167.05,5.17
2012040618,0.341,1.33,-4.97,165,5.14,1.37,-4.88,164.32,5.07,1.19,-4.84,166.17,4.99,1.42,-5.28,164.89,5.46
2012040619,0.376,1.57,-5.22,163.31,5.45,1.7,-5.09,161.53,5.37,1.54,-5.07,163.07,5.3,1.68,-5.48,162.9,5.73
2012040620,0.356,1.74,-5.36,161.99,5.63,1.98,-5.11,158.81,5.48,1.82,-5.1,160.33,5.42,1.88,-5.48,161.08,5.79
2012040621,0.366,1.8,-5.08,160.46,5.39,2.09,-4.77,156.4,5.21,1.96,-4.77,157.7,5.16,1.93,-5.09,159.19,5.44
2012040622,0.366,1.73,-4.24,157.8,4.58,1.94,-3.99,154.08,4.44,1.9,-3.97,154.44,4.4,1.82,-4.21,156.64,4.59
2012040623,0.311,1.61,-3.14,152.8,3.53,1.69,-3.01,150.7,3.45,1.75,-2.95,149.29,3.44,1.64,-3.13,152.38,3.54
2012040700,0.226,1.58,-2.21,144.49,2.71,1.54,-2.17,144.66,2.66,1.68,-2.09,141.2,2.68,1.53,-2.23,145.51,2.71
2012040901,0.722,5.45,-3.16,120.1,6.3,4.17,-2.41,120.04,4.82,4.41,-2.63,120.83,5.14,4.14,-2.57,121.81,4.87
2012040902,0.607,5.62,-3.24,119.99,6.49,3.78,-2.17,119.79,4.36,3.89,-2.3,120.63,4.52,3.76,-2.18,120.17,4.35
2012040903,0.546,5.83,-3.27,119.32,6.68,3.76,-2.01,118.17,4.26,3.82,-2.04,118.12,4.33,4.02,-1.95,115.87,4.47
2012040904,0.612,6.03,-3.19,117.87,6.82,4.19,-1.92,114.68,4.61,4.37,-1.85,112.97,4.75,4.71,-1.84,111.37,5.06
2012040905,0.787,6.22,-3.01,115.81,6.91,4.85,-1.89,111.33,5.2,5.21,-1.76,108.65,5.5,5.52,-1.85,108.56,5.83
2012040906,0.857,6.38,-2.76,113.37,6.95,5.43,-1.91,109.42,5.76,5.89,-1.79,106.88,6.16,6.16,-1.99,107.89,6.47
2012040907,0.857,6.51,-2.47,110.8,6.97,5.7,-1.97,109.09,6.03,6.07,-1.94,107.71,6.38,6.38,-2.22,109.15,6.76
2012040908,0.847,6.59,-2.2,108.46,6.95,5.74,-2.02,109.42,6.08,5.93,-2.12,109.7,6.3,6.33,-2.43,111.01,6.78
2012040909,0.857,6.61,-1.99,106.75,6.9,5.7,-2.01,109.42,6.04,5.75,-2.22,111.11,6.16,6.22,-2.49,111.85,6.7
2012040910,0.852,6.56,-1.88,106,6.82,5.72,-1.92,108.53,6.03,5.77,-2.17,110.6,6.16,6.23,-2.34,110.56,6.66
2012040911,0.867,6.55,-1.91,106.23,6.82,5.92,-1.93,108.03,6.22,6.04,-2.15,109.57,6.41,6.4,-2.15,108.58,6.76
2012040912,0.922,6.69,-2.09,107.35,7.01,6.41,-2.26,109.45,6.79,6.55,-2.39,110.02,6.97,6.74,-2.2,108.07,7.09
2012040913,0.897,7.22,-3.04,112.83,7.83,7.27,-3.02,112.55,7.87,7.22,-2.64,110.1,7.69,7.45,-3.67,116.22,8.31
2012040914,0.917,8.11,-3.94,115.9,9.02,8.02,-3.75,115.07,8.85,7.74,-3.29,113.04,8.42,8.16,-4.38,118.2,9.26
2012040915,0.927,8.79,-4.55,117.36,9.9,8.61,-4.2,116,9.58,8.19,-3.87,115.3,9.05,8.56,-4.61,118.3,9.72
2012040916,0.922,9.03,-4.58,116.87,10.13,8.89,-4.09,114.71,9.78,8.46,-4.16,116.21,9.43,8.7,-4.49,117.32,9.79
2012040917,0.927,8.98,-4.27,115.42,9.95,8.96,-3.69,112.36,9.69,8.61,-4.26,116.3,9.61,8.71,-4.24,115.94,9.69
2012040918,0.927,8.87,-4,114.29,9.73,8.99,-3.38,110.6,9.61,8.74,-4.3,116.2,9.74,8.72,-4.05,114.9,9.62
2012040919,0.927,8.85,-4.04,114.56,9.73,9.06,-3.44,110.77,9.69,8.86,-4.39,116.36,9.89,8.79,-4.06,114.79,9.68
2012040920,0.922,8.7,-4.17,115.63,9.64,8.93,-3.65,112.25,9.65,8.74,-4.4,116.7,9.79,8.68,-4.07,115.13,9.59
2012040921,0.922,8.13,-4.06,116.54,9.08,8.28,-3.71,114.12,9.08,8.07,-4.12,117.07,9.06,8.08,-3.8,115.21,8.93
2012040922,0.897,6.97,-3.49,116.58,7.8,6.96,-3.38,115.9,7.74,6.69,-3.46,117.34,7.53,6.82,-3.08,114.31,7.48
2012040923,0.802,5.61,-2.71,115.74,6.23,5.4,-2.83,117.6,6.1,5.06,-2.6,117.2,5.69,5.33,-2.16,112.1,5.75
2012041000,0.682,4.55,-2.07,114.46,5,4.21,-2.3,118.71,4.8,3.79,-1.82,115.7,4.21,4.19,-1.42,108.77,4.42
2012041001,0.491,3.81,-2.01,117.87,4.3,3.32,-1.35,112.09,3.59,3.81,-1.13,106.56,3.97,4.52,-1.38,106.92,4.73
2012041002,0.471,3.97,-1.9,115.54,4.4,3.42,-1.15,108.64,3.61,3.94,-1.18,106.63,4.12,4.08,-1.26,107.15,4.27
2012041003,0.516,4.32,-1.85,113.15,4.7,3.68,-1.16,107.55,3.86,4.19,-1.35,107.89,4.4,3.77,-1.27,108.64,3.98
2012041004,0.496,4.55,-1.77,111.29,4.89,3.77,-1.29,108.87,3.99,4.23,-1.48,109.26,4.49,3.61,-1.37,110.81,3.86
2012041005,0.511,4.67,-1.67,109.69,4.96,3.74,-1.42,110.73,4,4.13,-1.5,110,4.39,3.52,-1.45,112.38,3.81
2012041006,0.446,4.76,-1.56,108.13,5.01,3.69,-1.41,110.95,3.95,4.02,-1.39,109.13,4.25,3.48,-1.41,112.02,3.75
2012041007,0.391,4.91,-1.46,106.53,5.13,3.73,-1.22,108.09,3.93,4.04,-1.16,106.05,4.21,3.45,-1.18,108.91,3.65
2012041008,0.331,5.18,-1.39,105.02,5.37,4,-1.05,104.72,4.14,4.3,-0.95,102.45,4.4,3.61,-0.97,104.98,3.74
2012041009,0.341,5.63,-1.38,103.78,5.8,4.64,-1.19,104.41,4.79,4.86,-0.92,100.75,4.95,4.18,-1.01,103.53,4.3
2012041010,0.411,6.26,-1.44,102.97,6.43,5.69,-1.81,107.66,5.97,5.76,-1.2,101.79,5.88,5.25,-1.46,105.56,5.45
2012041011,0.431,6.87,-1.54,102.61,7.04,6.83,-2.62,110.96,7.32,6.75,-1.67,103.94,6.95,6.51,-2.17,108.45,6.87
2012041012,0.441,7.2,-1.62,102.65,7.38,7.68,-3.22,112.71,8.33,7.52,-2.17,106.12,7.83,7.55,-2.9,111,8.08
2012041213,0,0.96,-2.35,157.85,2.54,0.75,-2.02,159.66,2.16,0.87,-2.02,156.6,2.2,0.83,-2.4,160.99,2.53
2012041214,0,0.96,-2.77,160.93,2.93,0.82,-2.31,160.41,2.45,1.27,-2.29,150.97,2.62,1.43,-2.65,151.63,3.01
2012041215,0.05,0.99,-3.07,162.19,3.22,0.94,-2.55,159.71,2.72,1.68,-2.53,146.37,3.04,1.78,-2.73,146.91,3.26
2012041216,0.065,1.06,-3.11,161.11,3.29,1.09,-2.63,157.41,2.85,2,-2.62,142.74,3.3,1.92,-2.69,144.51,3.31
2012041217,0.08,1.21,-2.94,157.7,3.18,1.25,-2.56,153.89,2.85,2.16,-2.62,140.48,3.39,1.92,-2.62,143.69,3.25
2012041218,0.065,1.43,-2.69,151.95,3.05,1.41,-2.4,149.59,2.78,2.14,-2.6,140.51,3.37,1.88,-2.6,144.24,3.21
2012041219,0.06,1.72,-2.45,144.87,2.99,1.52,-2.21,145.45,2.68,1.92,-2.63,143.85,3.26,1.82,-2.71,146.04,3.27
2012041220,0.075,1.91,-2.27,140,2.97,1.49,-2.07,144.15,2.55,1.53,-2.67,150.24,3.07,1.69,-2.84,149.26,3.31
2012041221,0.075,1.79,-2.21,141.01,2.84,1.21,-2.05,149.53,2.38,1,-2.65,159.41,2.83,1.36,-2.88,154.7,3.19
2012041222,0.075,1.25,-2.26,151.17,2.58,0.61,-2.19,164.37,2.28,0.4,-2.54,171.04,2.57,0.8,-2.75,163.77,2.86
2012041223,0.135,0.56,-2.37,166.79,2.43,-0.01,-2.39,180.33,2.39,-0.09,-2.38,182.2,2.38,0.23,-2.51,174.83,2.52
2012041300,0.12,0.09,-2.43,177.99,2.43,-0.33,-2.5,187.57,2.53,-0.28,-2.24,187.17,2.26,-0.06,-2.29,181.51,2.29
2012041301,0.135,-0.12,-2.43,182.79,2.43,-0.06,-2.18,181.47,2.18,0.13,-2.17,176.63,2.17,-0.03,-2.04,180.87,2.04
2012041302,0.135,0.38,-2.28,170.57,2.31,0.37,-2.21,170.42,2.25,0.56,-2.16,165.41,2.24,0.12,-2.12,176.75,2.12
2012041303,0.125,0.79,-2.22,160.45,2.36,0.71,-2.33,162.98,2.44,0.91,-2.25,157.93,2.43,0.37,-2.18,170.35,2.22
2012041304,0.125,0.85,-2.36,160.13,2.5,0.76,-2.52,163.12,2.63,0.94,-2.4,158.61,2.58,0.67,-2.23,163.19,2.33
2012041305,0.05,0.74,-2.55,163.87,2.65,0.68,-2.66,165.6,2.74,0.8,-2.53,162.52,2.65,0.96,-2.26,156.88,2.46
2012041306,0.005,0.73,-2.6,164.42,2.7,0.72,-2.62,164.64,2.71,0.73,-2.55,163.98,2.65,1.17,-2.27,152.62,2.55
2012041307,0.045,1.01,-2.39,157.03,2.6,1.05,-2.32,155.73,2.55,0.93,-2.4,158.91,2.57,1.25,-2.25,150.88,2.57
2012041308,0.005,1.47,-2.08,144.73,2.55,1.53,-1.93,141.56,2.47,1.27,-2.15,149.43,2.5,1.25,-2.21,150.56,2.54
2012041309,0,1.87,-1.87,135.02,2.65,1.96,-1.65,130.05,2.56,1.6,-1.91,140.14,2.49,1.22,-2.15,150.38,2.47
2012041310,0.02,2.04,-1.92,133.22,2.8,2.16,-1.61,126.78,2.69,1.75,-1.74,134.85,2.47,1.22,-2.06,149.4,2.39
2012041311,0.08,1.96,-2.04,136.13,2.83,2.09,-1.68,128.76,2.68,1.73,-1.59,132.72,2.35,1.17,-1.89,148.22,2.22
2012041312,0.055,1.64,-1.97,140.27,2.56,1.77,-1.63,132.67,2.4,1.53,-1.38,131.87,2.06,0.99,-1.57,147.87,1.86
2012041313,0.02,1.25,-1.31,136.41,1.81,1.22,-1.03,130.12,1.6,0.64,-1.09,149.44,1.26,0.83,-1.58,152.39,1.79
2012041314,0,0.78,-0.8,135.75,1.12,0.94,-0.62,123.37,1.12,0.32,-0.51,147.49,0.6,0.58,-1.21,154.34,1.34
2012041315,0,0.66,-0.24,109.66,0.7,0.86,-0.23,105.03,0.89,0.27,0.07,75.13,0.28,0.5,-0.64,142.06,0.81
2012041316,0,1.1,0.25,77.16,1.12,1.11,0.05,87.23,1.11,0.67,0.54,50.97,0.86,0.57,0.01,88.62,0.57
2012041317,0,1.88,0.57,73.23,1.96,1.63,0.22,82.29,1.65,1.39,0.81,59.66,1.61,0.89,0.56,57.84,1.05
2012041318,0.02,2.7,0.62,76.99,2.77,2.29,0.27,83.22,2.31,2.22,0.78,70.57,2.36,1.55,0.81,62.24,1.75
2012041319,0.08,3.3,0.38,83.52,3.32,2.96,0.21,86.03,2.96,2.99,0.42,82.07,3.02,2.54,0.65,75.76,2.62
2012041320,0.125,3.59,-0.08,91.33,3.59,3.43,0,89.98,3.43,3.5,-0.15,92.45,3.5,3.51,0.17,87.18,3.51
2012041321,0.216,3.52,-0.62,99.98,3.58,3.52,-0.36,95.86,3.54,3.59,-0.72,101.39,3.67,3.98,-0.42,96.04,4
2012041322,0.211,3.1,-1.1,109.51,3.29,3.1,-0.85,105.4,3.22,3.19,-1.14,109.61,3.38,3.66,-0.96,104.73,3.79
2012041323,0.221,2.57,-1.37,118.04,2.91,2.49,-1.26,116.78,2.79,2.57,-1.29,116.6,2.88,2.89,-1.3,114.22,3.17
2012041400,0.14,2.25,-1.28,119.74,2.59,2.08,-1.3,121.92,2.45,2.14,-1.11,117.37,2.4,2.16,-1.29,120.8,2.51
2012041601,0.19,1.59,3.26,25.98,3.62,0.29,2.86,5.86,2.88,2.03,2.34,40.91,3.1,2.51,2.3,47.4,3.4
2012041602,0.12,2.23,3.58,31.9,4.22,0.5,3.19,8.91,3.22,2.13,2.56,39.77,3.33,2.28,2.42,43.34,3.32
2012041603,0.165,2.88,3.83,36.9,4.8,1.02,3.41,16.71,3.56,2.24,2.81,38.46,3.59,2.23,2.66,39.93,3.47
2012041604,0.491,3.23,3.95,39.25,5.1,1.62,3.45,25.22,3.81,2.33,3.05,37.29,3.84,2.29,2.97,37.62,3.75
2012041605,0.617,3.38,3.95,40.6,5.2,2.18,3.36,33,4.01,2.39,3.25,36.4,4.04,2.41,3.28,36.37,4.07
2012041606,0.602,3.55,3.86,42.63,5.24,2.62,3.26,38.73,4.18,2.45,3.38,35.85,4.18,2.52,3.48,35.93,4.3
2012041607,0.546,3.87,3.72,46.09,5.37,2.86,3.25,41.38,4.33,2.48,3.46,35.6,4.26,2.57,3.52,36.08,4.36
2012041608,0.511,4.2,3.63,49.21,5.55,2.91,3.33,41.15,4.42,2.49,3.53,35.19,4.32,2.58,3.48,36.57,4.34
2012041609,0.381,4.35,3.65,49.99,5.68,2.77,3.5,38.33,4.46,2.48,3.67,34.08,4.43,2.62,3.46,37.15,4.33
